Year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec,J-D,D-N,DJF,MAM,JJA,SON,Median
1880,-0.77,-0.36,-0.43,-0.62,-0.32,-0.44,-0.43,0.12,-0.45,-0.62,-0.47,-0.49,-0.44,***,***,-0.46,-0.25,-0.51,-0.445
1881,-0.75,-0.58,-0.32,-0.21,0.02,-1.07,-0.49,-0.2,-0.31,-0.44,-0.52,-0.11,-0.42,-0.45,-0.61,-0.17,-0.59,-0.42,-0.38
1882,0.16,-0.07,-0.04,-0.55,-0.34,-0.99,-0.67,-0.07,-0.04,-0.27,-0.36,-0.64,-0.32,-0.28,-0.01,-0.31,-0.58,-0.22,-0.305
1883,-0.65,-0.91,-0.41,-0.28,-0.31,0.49,0.02,-0.11,-0.41,-0.52,-0.64,-0.35,-0.34,-0.36,-0.73,-0.33,0.13,-0.53,-0.38
1884,-0.56,-0.3,-0.35,-0.9,-1.15,-0.78,-0.81,0.2,-0.32,-0.73,-0.77,-0.96,-0.62,-0.57,-0.4,-0.8,-0.46,-0.61,-0.75
1885,-0.88,-0.74,-0.86,-0.82,-0.45,-0.89,-0.58,-0.11,-0.1,0.02,-0.33,0.06,-0.47,-0.56,-0.86,-0.71,-0.52,-0.14,-0.515
1886,-0.71,-0.78,-0.64,-0.58,-0.52,-0.79,-0.35,-0.68,-0.38,-0.81,-0.45,-0.7,-0.62,-0.55,-0.48,-0.58,-0.61,-0.55,-0.66
1887,-0.82,-1.22,-0.54,-0.79,-0.82,-0.62,-0.36,-0.2,-0.56,-0.49,-0.86,-0.61,-0.66,-0.67,-0.91,-0.72,-0.4,-0.64,-0.615
1888,-0.72,-0.79,-0.88,-0.28,-0.74,-0.53,-0.34,-0.33,-0.39,-0.26,-0.06,-0.16,-0.46,-0.49,-0.7,-0.64,-0.4,-0.24,-0.365
1889,-0.27,0.19,0.08,0.15,0.12,-0.29,-0.39,-0.58,-0.35,-0.18,-0.43,-0.39,-0.19,-0.18,-0.08,0.12,-0.42,-0.32,-0.28
1890,-0.6,-0.62,-0.59,-0.49,-0.89,-0.56,-0.54,-0.56,-0.31,-0.26,-0.76,-0.52,-0.56,-0.55,-0.53,-0.66,-0.55,-0.44,-0.56
1891,-0.92,-1.03,-0.49,-0.63,-0.47,-0.54,-0.69,-0.55,-0.45,-0.52,-0.5,0.07,-0.56,-0.61,-0.82,-0.53,-0.59,-0.49,-0.53
1892,-0.61,-0.29,-0.58,-0.69,-0.64,-0.54,-0.37,-0.24,-0.45,-0.32,-0.62,-0.59,-0.49,-0.44,-0.28,-0.64,-0.38,-0.46,-0.56
1893,-1.42,-0.98,-0.58,-0.65,-0.72,-0.66,-0.1,-0.32,-0.22,-0.06,-0.1,-0.36,-0.51,-0.53,-1,-0.65,-0.36,-0.13,-0.47
1894,-0.75,-0.6,-0.39,-0.62,-0.64,-0.46,-0.37,-0.3,-0.4,-0.06,-0.13,-0.15,-0.41,-0.42,-0.57,-0.55,-0.38,-0.2,-0.395
1895,-0.67,-0.75,-0.48,-0.44,-0.29,-0.26,-0.5,-0.16,-0.11,-0.07,-0.13,-0.07,-0.33,-0.33,-0.52,-0.4,-0.31,-0.1,-0.275
1896,-0.2,-0.26,-0.5,-0.44,-0.41,-0.42,-0.16,-0.33,-0.06,0.01,-0.4,-0.17,-0.28,-0.27,-0.18,-0.45,-0.3,-0.15,-0.295
1897,-0.24,-0.46,-0.28,-0.09,-0.24,-0.16,-0.1,-0.3,-0.11,-0.2,0.01,-0.2,-0.2,-0.2,-0.29,-0.2,-0.18,-0.1,-0.2
1898,-0.11,-0.43,-0.8,-0.57,-0.63,-0.29,-0.34,-0.21,0.01,-0.38,-0.47,-0.2,-0.37,-0.37,-0.25,-0.66,-0.28,-0.28,-0.36
1899,-0.41,-0.58,-0.36,-0.22,-0.39,-0.52,-0.28,-0.26,0,-0.26,-0.01,-0.2,-0.29,-0.29,-0.4,-0.32,-0.35,-0.09,-0.27
1900,-0.52,-0.04,-0.17,-0.15,-0.17,-0.1,-0.34,-0.13,-0.04,0.18,-0.1,-0.05,-0.13,-0.15,-0.25,-0.16,-0.19,0.02,-0.115
1901,-0.19,-0.08,-0.1,-0.05,-0.18,0.05,-0.22,-0.18,0.05,-0.14,-0.13,-0.2,-0.11,-0.1,-0.11,-0.11,-0.12,-0.07,-0.135
1902,-0.29,-0.03,-0.17,-0.19,-0.31,-0.33,-0.42,-0.49,-0.38,-0.41,-0.47,-0.54,-0.34,-0.31,-0.17,-0.22,-0.41,-0.42,-0.355
1903,-0.33,-0.13,-0.15,-0.55,-0.45,-0.63,-0.3,-0.39,-0.37,-0.45,-0.44,-0.59,-0.4,-0.39,-0.33,-0.39,-0.44,-0.42,-0.415
1904,-0.78,-0.74,-0.55,-0.42,-0.62,-0.47,-0.59,-0.47,-0.41,-0.49,-0.24,-0.39,-0.51,-0.53,-0.7,-0.53,-0.51,-0.38,-0.48
1905,-0.4,-0.95,-0.21,-0.3,-0.33,-0.28,-0.41,-0.24,-0.19,-0.35,-0.06,-0.23,-0.33,-0.34,-0.58,-0.28,-0.31,-0.2,-0.29
1906,-0.13,-0.27,-0.3,0.08,-0.18,-0.2,-0.19,-0.13,-0.27,-0.16,-0.5,-0.21,-0.21,-0.21,-0.21,-0.13,-0.17,-0.31,-0.195
1907,-0.45,-0.63,-0.43,-0.57,-0.57,-0.65,-0.39,-0.51,-0.36,-0.3,-0.56,-0.63,-0.5,-0.47,-0.43,-0.53,-0.52,-0.41,-0.535
1908,-0.34,-0.28,-0.47,-0.42,-0.29,-0.4,-0.36,-0.35,-0.12,-0.37,-0.55,-0.37,-0.36,-0.38,-0.42,-0.4,-0.37,-0.35,-0.365
1909,-0.75,-0.55,-0.46,-0.58,-0.56,-0.38,-0.3,-0.05,-0.14,-0.12,-0.1,-0.51,-0.38,-0.36,-0.56,-0.53,-0.25,-0.12,-0.42
1910,-0.41,-0.34,-0.42,-0.25,-0.2,-0.3,-0.19,-0.09,-0.06,-0.25,-0.49,-0.62,-0.3,-0.29,-0.42,-0.29,-0.19,-0.27,-0.275
1911,-0.63,-0.62,-0.59,-0.5,-0.35,-0.35,-0.12,-0.21,-0.22,-0.14,-0.11,-0.21,-0.34,-0.37,-0.62,-0.48,-0.23,-0.16,-0.285
1912,-0.15,-0.08,-0.39,-0.26,-0.16,-0.23,-0.47,-0.59,-0.32,-0.43,-0.39,-0.3,-0.31,-0.31,-0.15,-0.27,-0.43,-0.38,-0.31
1913,-0.42,-0.47,-0.56,-0.28,-0.6,-0.58,-0.19,-0.18,-0.17,-0.27,-0.11,0.08,-0.31,-0.34,-0.4,-0.48,-0.32,-0.19,-0.275
1914,0.18,-0.01,-0.02,-0.18,0,-0.08,-0.2,-0.05,-0.04,0.16,-0.3,-0.19,-0.06,-0.04,0.08,-0.06,-0.11,-0.06,-0.045
1915,-0.15,0.07,-0.09,0,-0.21,-0.21,0.04,-0.19,0,-0.08,0.06,-0.09,-0.07,-0.08,-0.09,-0.1,-0.12,-0.01,-0.085
1916,-0.06,-0.09,-0.44,-0.27,-0.34,-0.49,-0.36,-0.09,-0.17,-0.13,-0.36,-0.8,-0.3,-0.24,-0.08,-0.35,-0.31,-0.22,-0.305
1917,-0.51,-0.74,-0.79,-0.53,-0.8,-0.46,0,-0.38,-0.31,-0.49,-0.31,-0.94,-0.52,-0.51,-0.68,-0.7,-0.28,-0.37,-0.5
1918,-0.62,-0.58,-0.48,-0.55,-0.77,-0.43,-0.48,-0.46,-0.16,0.03,-0.24,-0.34,-0.42,-0.47,-0.71,-0.6,-0.46,-0.12,-0.47
1919,-0.29,-0.23,-0.11,-0.12,-0.15,-0.17,-0.07,-0.07,-0.19,-0.05,-0.42,-0.28,-0.18,-0.18,-0.29,-0.13,-0.1,-0.22,-0.16
1920,-0.1,-0.27,-0.16,-0.19,-0.31,-0.37,-0.2,-0.14,-0.15,-0.43,-0.33,-0.48,-0.26,-0.24,-0.22,-0.22,-0.24,-0.31,-0.235
1921,-0.01,-0.15,-0.11,-0.17,-0.18,-0.09,0.01,-0.46,-0.13,-0.09,-0.26,-0.17,-0.15,-0.18,-0.21,-0.15,-0.18,-0.16,-0.14
1922,-0.4,-0.45,-0.31,-0.1,-0.36,-0.31,-0.03,-0.23,-0.13,-0.25,-0.11,-0.14,-0.24,-0.24,-0.34,-0.26,-0.19,-0.16,-0.24
1923,-0.24,-0.2,-0.22,-0.46,-0.32,-0.27,-0.49,-0.36,-0.29,-0.08,-0.01,-0.07,-0.25,-0.26,-0.2,-0.34,-0.37,-0.13,-0.255
