Étiquettes de lignes	Nombre de Surface parcourue (ha)
1973	2375
1974	1909
1975	2460
1976	2897
1977	1699
1978	4366
1979	4176
1980	3563
1981	3457
1982	2911
1983	2774
1984	2684
1985	3732
1986	2657
1987	2116
1988	2240
1989	3321
1990	3297
1991	2372
1992	2708
1993	2962
1994	2518
1995	2346
1996	1789
1997	2784
1998	2586
1999	2995
2000	2430
2001	2788
2002	1677
2003	3490
2004	2028
2005	1871
2006	2253
2007	2321
2008	1328
2009	1965
2010	1355
2011	1774
2012	1857
2013	1205
2014	1291
2015	1772
2016	1878
2017	2321
2018	1037
2019	1726
Total général	114061
